[2026-03-22 00:40:36,232][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:40:36,233][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:40:43,230][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:40:43,342][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:41:04,060][__main__][INFO] - Making design outputs/users/anonymous/5f119f7e/3c19f4f174a7/v1/design_1
[2026-03-22 00:41:04,065][rfdiffusion.inference.model_runners][INFO] - Using contig: ['45-55']
[2026-03-22 00:41:04,076][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------------------------------------------
[2026-03-22 00:41:04,644][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------------------------------------------
[2026-03-22 00:41:05,028][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------------------------------------------
[2026-03-22 00:41:05,412][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------------------------------------------
[2026-03-22 00:41:05,794][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------------------------------------------
[2026-03-22 00:41:06,175][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------------------------------------------
[2026-03-22 00:41:06,557][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------------------------------------------
[2026-03-22 00:41:06,938][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------------------------------------------
[2026-03-22 00:41:07,320][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------------------------------------------
[2026-03-22 00:41:07,709][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------------------------------------------
[2026-03-22 00:41:08,090][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------------------------------------------
[2026-03-22 00:41:08,471][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------------------------------------------
[2026-03-22 00:41:08,855][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------------------------------------------
[2026-03-22 00:41:09,236][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -------------------------------------------------
