[2026-03-22 00:34:47,611][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:34:47,612][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:34:54,685][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:34:54,803][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:34:54,822][__main__][INFO] - Making design /workspace/RFdiffusion/outputs/users/anonymous/5f119f7e/3c19f4f174a7/v0/design_0
[2026-03-22 00:34:54,827][rfdiffusion.inference.model_runners][INFO] - Using contig: ['60-80']
[2026-03-22 00:34:54,856][rfdiffusion.inference.model_runners][INFO] - Sequence init: ----------------------------------------------------------------------
[2026-03-22 00:34:56,376][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:56,783][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:57,176][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:57,574][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:57,967][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:58,365][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:58,759][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:59,148][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:59,547][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:34:59,937][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:35:00,336][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: ----------------------------------------------------------------------
[2026-03-22 00:35:00,739][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: ----------------------------------------------------------------------
