[2026-03-21 23:52:42,273][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-21 23:52:42,274][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-21 23:52:49,555][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-21 23:52:49,671][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-21 23:52:49,684][__main__][INFO] - Making design /workspace/RFdiffusion/outputs/users/anonymous/bd29d865/38b879d16c3a/v1/design_0
[2026-03-21 23:52:49,690][rfdiffusion.inference.model_runners][INFO] - Using contig: ['120-120']
[2026-03-21 23:52:49,723][rfdiffusion.inference.model_runners][INFO] - Sequence init: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:51,539][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:52,122][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:52,631][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:53,045][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:53,510][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:53,978][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:54,387][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:54,864][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:55,399][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: ------------------------------------------------------------------------------------------------------------------------
[2026-03-21 23:52:55,883][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: ------------------------------------------------------------------------------------------------------------------------
