[2026-03-22 00:31:00,961][__main__][INFO] - Found GPU with device_name NVIDIA L40S. Will run RFdiffusion on NVIDIA L40S
[2026-03-22 00:31:00,962][rfdiffusion.inference.model_runners][INFO] - Reading checkpoint from /workspace/RFdiffusion/rfdiffusion/inference/../../models/Base_ckpt.pt
[2026-03-22 00:31:08,299][rfdiffusion.inference.model_runners][INFO] - Loading checkpoint.
[2026-03-22 00:31:08,413][rfdiffusion.diffusion][INFO] - Using cached IGSO3.
[2026-03-22 00:31:08,428][__main__][INFO] - Making design /workspace/RFdiffusion/outputs/users/anonymous/0d40ffbb/265d4c8b9608/v0/design_0
[2026-03-22 00:31:08,434][rfdiffusion.inference.model_runners][INFO] - Using contig: ['35-50']
[2026-03-22 00:31:08,460][rfdiffusion.inference.model_runners][INFO] - Sequence init: -------------------------------------------
[2026-03-22 00:31:09,870][rfdiffusion.inference.model_runners][INFO] - Timestep 50, input to next step: -------------------------------------------
[2026-03-22 00:31:10,282][rfdiffusion.inference.model_runners][INFO] - Timestep 49, input to next step: -------------------------------------------
[2026-03-22 00:31:10,679][rfdiffusion.inference.model_runners][INFO] - Timestep 48, input to next step: -------------------------------------------
[2026-03-22 00:31:11,075][rfdiffusion.inference.model_runners][INFO] - Timestep 47, input to next step: -------------------------------------------
[2026-03-22 00:31:11,472][rfdiffusion.inference.model_runners][INFO] - Timestep 46, input to next step: -------------------------------------------
[2026-03-22 00:31:11,868][rfdiffusion.inference.model_runners][INFO] - Timestep 45, input to next step: -------------------------------------------
[2026-03-22 00:31:12,265][rfdiffusion.inference.model_runners][INFO] - Timestep 44, input to next step: -------------------------------------------
[2026-03-22 00:31:12,675][rfdiffusion.inference.model_runners][INFO] - Timestep 43, input to next step: -------------------------------------------
[2026-03-22 00:31:13,074][rfdiffusion.inference.model_runners][INFO] - Timestep 42, input to next step: -------------------------------------------
[2026-03-22 00:31:13,473][rfdiffusion.inference.model_runners][INFO] - Timestep 41, input to next step: -------------------------------------------
[2026-03-22 00:31:13,872][rfdiffusion.inference.model_runners][INFO] - Timestep 40, input to next step: -------------------------------------------
[2026-03-22 00:31:14,271][rfdiffusion.inference.model_runners][INFO] - Timestep 39, input to next step: -------------------------------------------
[2026-03-22 00:31:14,670][rfdiffusion.inference.model_runners][INFO] - Timestep 38, input to next step: -------------------------------------------
[2026-03-22 00:31:15,074][rfdiffusion.inference.model_runners][INFO] - Timestep 37, input to next step: -------------------------------------------
[2026-03-22 00:31:15,479][rfdiffusion.inference.model_runners][INFO] - Timestep 36, input to next step: -------------------------------------------
[2026-03-22 00:31:15,881][rfdiffusion.inference.model_runners][INFO] - Timestep 35, input to next step: -------------------------------------------
[2026-03-22 00:31:16,281][rfdiffusion.inference.model_runners][INFO] - Timestep 34, input to next step: -------------------------------------------
[2026-03-22 00:31:16,685][rfdiffusion.inference.model_runners][INFO] - Timestep 33, input to next step: -------------------------------------------
[2026-03-22 00:31:17,084][rfdiffusion.inference.model_runners][INFO] - Timestep 32, input to next step: -------------------------------------------
[2026-03-22 00:31:17,483][rfdiffusion.inference.model_runners][INFO] - Timestep 31, input to next step: -------------------------------------------
[2026-03-22 00:31:17,885][rfdiffusion.inference.model_runners][INFO] - Timestep 30, input to next step: -------------------------------------------
[2026-03-22 00:31:18,285][rfdiffusion.inference.model_runners][INFO] - Timestep 29, input to next step: -------------------------------------------
[2026-03-22 00:31:18,701][rfdiffusion.inference.model_runners][INFO] - Timestep 28, input to next step: -------------------------------------------
[2026-03-22 00:31:19,103][rfdiffusion.inference.model_runners][INFO] - Timestep 27, input to next step: -------------------------------------------
[2026-03-22 00:31:19,512][rfdiffusion.inference.model_runners][INFO] - Timestep 26, input to next step: -------------------------------------------
[2026-03-22 00:31:19,916][rfdiffusion.inference.model_runners][INFO] - Timestep 25, input to next step: -------------------------------------------
[2026-03-22 00:31:20,320][rfdiffusion.inference.model_runners][INFO] - Timestep 24, input to next step: -------------------------------------------
[2026-03-22 00:31:20,723][rfdiffusion.inference.model_runners][INFO] - Timestep 23, input to next step: -------------------------------------------
[2026-03-22 00:31:21,124][rfdiffusion.inference.model_runners][INFO] - Timestep 22, input to next step: -------------------------------------------
[2026-03-22 00:31:21,524][rfdiffusion.inference.model_runners][INFO] - Timestep 21, input to next step: -------------------------------------------
[2026-03-22 00:31:21,929][rfdiffusion.inference.model_runners][INFO] - Timestep 20, input to next step: -------------------------------------------
[2026-03-22 00:31:22,334][rfdiffusion.inference.model_runners][INFO] - Timestep 19, input to next step: -------------------------------------------
[2026-03-22 00:31:22,824][rfdiffusion.inference.model_runners][INFO] - Timestep 18, input to next step: -------------------------------------------
[2026-03-22 00:31:23,241][rfdiffusion.inference.model_runners][INFO] - Timestep 17, input to next step: -------------------------------------------
[2026-03-22 00:31:23,644][rfdiffusion.inference.model_runners][INFO] - Timestep 16, input to next step: -------------------------------------------
[2026-03-22 00:31:24,047][rfdiffusion.inference.model_runners][INFO] - Timestep 15, input to next step: -------------------------------------------
[2026-03-22 00:31:24,453][rfdiffusion.inference.model_runners][INFO] - Timestep 14, input to next step: -------------------------------------------
[2026-03-22 00:31:24,868][rfdiffusion.inference.model_runners][INFO] - Timestep 13, input to next step: -------------------------------------------
[2026-03-22 00:31:25,275][rfdiffusion.inference.model_runners][INFO] - Timestep 12, input to next step: -------------------------------------------
